,CO,C=O,CN,C=N,C#N
553,1,1,4,0,0
554,1,1,4,0,0
555,2,4,2,0,0
556,1,1,3,0,0
557,1,2,3,1,0
558,0,1,3,1,0
559,4,2,0,0,0
560,1,2,0,0,0
561,2,1,0,0,0
562,1,1,0,0,0
563,1,1,1,0,0
564,13,4,6,0,0
565,1,1,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,0
569,2,2,0,0,0
570,1,3,1,0,0
571,0,1,2,0,0
572,0,0,0,0,0
573,7,0,0,0,0
574,7,0,0,0,0
575,0,0,0,0,0
576,12,0,1,0,0
577,12,0,1,0,0
578,12,1,2,0,0
579,12,2,4,0,0
580,1,2,2,0,0
581,24,4,8,0,0
582,0,1,3,0,0
583,3,1,0,0,0
584,1,2,0,0,0
585,1,1,4,1,0
586,1,1,4,1,0
587,0,1,5,1,0
588,1,1,4,0,0
589,1,1,4,0,0
590,7,3,8,0,0
591,7,3,4,0,0
592,5,0,0,0,0
593,1,1,1,0,0
594,2,2,2,0,0
595,5,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,3,3,0,0,0
599,6,1,0,0,0
600,1,2,3,0,0
601,1,1,1,0,0
602,5,1,0,0,0
603,6,1,0,0,0
604,8,3,8,0,0
605,3,0,0,0,0
606,6,2,0,0,0
607,6,1,0,0,0
608,6,0,1,0,0
609,7,1,0,0,0
610,2,2,1,0,0
611,2,1,0,0,0
612,8,4,4,0,0
613,1,1,2,0,0
614,4,1,0,0,0
615,6,1,0,0,0
616,2,1,1,0,0
617,6,0,0,0,0
618,4,1,0,0,0
619,4,0,0,0,0
620,4,0,0,0,0
621,4,0,0,0,0
622,4,0,0,0,0
623,4,0,0,0,0
624,4,0,0,0,0
625,5,1,0,0,0
626,4,2,0,0,0
627,11,1,0,0,0
628,3,2,7,1,0
629,4,2,0,0,0
630,1,1,1,0,0
631,2,2,1,1,0
632,0,2,0,0,0
633,5,0,0,0,0
634,5,0,0,0,0
635,4,0,0,0,0
636,4,0,0,0,0
637,4,0,0,0,0
638,4,0,0,0,0
639,4,0,0,0,0
640,3,1,0,0,0
641,7,2,4,0,0
642,1,2,4,0,0
643,4,0,0,0,0
644,4,0,0,0,0
645,4,0,0,0,0
646,1,0,0,0,0
647,1,3,4,0,0
648,0,2,4,0,0
649,0,2,0,0,0
650,5,0,1,0,0
651,1,1,2,0,0
652,0,0,0,0,0
653,2,0,0,0,0
654,2,0,0,0,0
655,16,1,0,0,0
656,17,2,0,0,0
657,18,3,0,0,0
658,3,0,1,1,0
659,1,1,0,0,0
660,2,3,4,1,0
661,2,1,0,0,0
662,0,1,1,0,0
663,3,0,1,1,0
664,3,0,1,1,0
665,1,0,1,1,0
