,CID,smiles_repr,selfies_repr,h_acc,h_don,C,H,O,N,P,Cl,S,Se,As,Br,Ca,Co,Fe,Hg,I,K,Mg,Na,Ni,W,B,F,Si,Te,Al
291,292,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,[C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C][C][Branch2][Branch1][Ring1][C][Branch2][Ring2][=C][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][Branch1][P][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][O],9,16,15,25,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,293,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O,[C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C][C][Branch2][Ring1][P][C][Branch2][Ring1][N][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][O][O],6,12,11,20,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,[C][Branch2][Ring2][O][C][C][Branch2][Ring2][Branch1][C][Branch2][Ring1][S][C][Branch2][Ring1][O][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][Branch1][=C][O][C][Branch1][=Branch2][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][C][O][O][O][O][O],8,11,12,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,295,C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O,[C][C][C][Branch2][Ring1][=N][C][Branch2][Ring1][Branch2][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][N][O][O][P][=Branch1][C][=O][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O],4,8,10,12,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,296,CC(C=O)C(=O)O,[C][C][Branch1][Ring1][C][=O][C][=Branch1][C][=O][O],1,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,297,C,[C],0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],[C][=C][C][=Branch2][Ring1][=Branch2][=C][C][=C][Ring1][=Branch1][C][Branch1][S][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl][O][N+1][=Branch1][C][=O][O-1],3,5,11,12,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,[C][=Branch1][C][=O][C][Branch2][Ring2][P][C][Branch2][Ring2][N][C][Branch2][Ring2][#Branch1][C][Ring1][=Branch1][Branch2][Ring1][S][C][Branch2][Ring1][O][C][Ring1][=Branch1][Branch2][Ring1][Ring2][C][Ring1][=Branch1][Branch1][=C][C][Branch1][#Branch1][C][Ring1][#Branch1][Ring1][Branch1][Cl][Branch1][C][Cl][Cl][Cl][Cl][Cl][Cl][Cl][Cl][Cl],0,1,10,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,300,C(C(=O)O)Cl,[C][Branch1][=Branch1][C][=Branch1][C][=O][O][Cl],1,2,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,301,C1=CC(=C(C=C1O)Cl)O,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][Cl][O],2,2,6,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,302,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C,[C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][S][C][Branch2][Ring1][O][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][Branch1][#Branch2][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][O][C],3,5,24,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,303,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,[C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][P][C][Branch2][Ring1][N][C][C][C][Ring1][=Branch1][C][Branch2][Ring1][C][C][C][C][Ring1][=Branch1][Branch1][#Branch2][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][O][O][C],4,5,24,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,304,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][=Branch2][C][C][C][C][Ring1][=Branch1][C][C][=C][C][Ring1][=Branch1][Branch1][#Branch2][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][C],1,1,27,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,305,C[N+](C)(C)CCO,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O],1,1,5,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,306,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,[C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][C][=C][Branch1][#Branch1][C][=C][C][Ring1][=Branch1][O][C][=Branch1][C][=O][O],3,6,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,307,C1=CC=C(C=C1)C=CC=O,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=O],0,1,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,308,C1=CC=C(C=C1)C=CCO,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][O],1,1,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,309,C(C(=CC(=O)O)C(=O)O)C(=O)O,[C][Branch1][#C][C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,310,C(=CC(=O)O)C=CC(=O)O,[C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][=C][C][=Branch1][C][=O][O],2,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,[C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][Branch1][=Branch1][C][=Branch1][C][=O][O][O],4,7,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,312,[Cl-],[Cl-1],0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,313,Cl,[Cl],1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,314,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,[C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C][C][Branch2][Ring1][Branch1][C][Branch1][P][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O],5,8,9,14,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,315,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OCC(C(C(C(CC(=O)C(=O)O)O)O)O)O)O)O,[C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C][C][Branch2][Branch1][Ring1][C][Branch2][Ring2][=C][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][C][Branch1][#C][C][Branch1][O][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O][O][O][O][O][O][O],9,15,17,26,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,316,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,[C][C][=Branch1][C][=O][N][C][C][Branch2][Branch1][P][C][C][Branch1][#C][O][C][Ring1][=Branch1][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O][Branch1][=Branch1][C][=Branch1][C][=O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=C][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][N][O][O][O],10,16,20,31,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][O],10,21,21,36,16,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,318,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N.[Co],[C][C][C][C][Branch2][=Branch2][Branch2][C][Branch2][Branch2][S][C][=Branch1][Ring2][=N][Ring1][Branch1][C][C][=N][C][=Branch2][=Branch1][N][=C][Branch2][=Branch1][#Branch1][C][=N][C][Branch2][Ring2][=Branch1][C][C][Branch2][Ring1][O][C][Branch1][Branch2][C][Ring2][Ring1][C][=N][Ring1][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][C][O][C][C][=Branch1][C][=O][N][Branch2][Ring1][Branch2][C][Branch1][N][C][Ring2][Ring1][Branch2][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][Branch1][N][C][Ring2][Ring2][#Branch2][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N].[Co],8,12,48,75,8,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
318,319,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N,[C][C][C][C][Branch2][=Branch2][Branch2][C][Branch2][Branch2][S][C][=Branch1][Ring2][=N][Ring1][Branch1][C][C][=N][C][=Branch2][=Branch1][N][=C][Branch2][=Branch1][#Branch1][C][=N][C][Branch2][Ring2][=Branch1][C][C][Branch2][Ring1][O][C][Branch1][Branch2][C][Ring2][Ring1][C][=N][Ring1][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][C][O][C][C][=Branch1][C][=O][N][Branch2][Ring1][Branch2][C][Branch1][N][C][Ring2][Ring1][Branch2][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][Branch1][N][C][Ring2][Ring2][#Branch2][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N],8,12,48,75,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,320,C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O,[C][C][Branch2][Ring2][C][C][=C][Branch1][=Branch1][N][C][=N][Ring1][#Branch1][N][Branch1][Branch1][C][=N][Ring1][Branch2][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][O],5,7,11,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,321,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,[C][C][=C][C][C][=C][Branch2][#Branch1][Branch1][C][=Branch2][=Branch1][#Branch2][=C][Branch1][Ring2][N][Ring1][Branch1][C][C][=C][Branch2][Branch1][#Branch1][C][=Branch2][Branch1][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][C][=C][Branch2][Ring1][#C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Ring2][N][Ring1][Branch1][C][C][=Branch1][N][=C][Ring2][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][N][Ring2][Ring1][N][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][O][C],8,8,36,44,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,322,C1=CC(=CC=C1C=CC(=O)O)O,[C][=C][C][=Branch1][=N][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][C][=O][O][O],2,3,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,323,C1=CC=C2C(=C1)C=CC(=O)O2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][C][=O][O][Ring1][Branch2],0,2,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,324,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O,[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch2][Ring1][P][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O],10,23,30,42,18,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,325,CC(C)C1=CC=C(C=C1)CO,[C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O],1,1,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,326,CC(C)C1=CC=C(C=C1)C=O,[C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],0,1,10,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,327,C1=C(NC2=C1C(=O)C(=C3C2=C(C=C(N3)C(=O)O)C(=O)O)O)C(=O)O,[C][=C][Branch2][Ring2][#Branch1][N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][C][=Branch2][Ring1][=Branch2][=C][C][Ring1][#Branch1][=C][Branch1][=N][C][=C][Branch1][Ring2][N][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][O][C][=Branch1][C][=O][O],6,9,14,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,328,C1=CC(=CC=C1C(C(=O)O)O)O,[C][=C][C][=Branch1][#C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,329,CSCC(C(C(=O)COP(=O)(O)O)O)O,[C][S][C][C][Branch2][Ring1][Ring1][C][Branch1][#C][C][=Branch1][C][=O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O],4,8,6,13,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,330,CC(C)CCCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C,[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][=Branch2][C][C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][Branch1][#Branch2][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][C],1,1,27,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,331,CC(CC(CC(=O)O)N)N,[C][C][Branch1][N][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][N][N],3,4,6,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,332,COC1=C(C=CC(=C1)C=C)O,[C][O][C][=C][Branch1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][O],1,2,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,333,C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N,[C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][C][Branch1][#C][C][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][Branch2][N],9,11,9,17,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,334,CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C,[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][#Branch2][C][C][C][C][Ring1][=Branch1][C][Branch1][S][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][O][Ring1][#Branch1][C][O][C],1,2,27,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,335,CC1=CC=CC=C1O,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,336,C(C(=O)O)(NC(=O)N)O,[C][Branch1][=Branch1][C][=Branch1][C][=O][O][Branch1][#Branch1][N][C][=Branch1][C][=O][N][O],4,4,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,337,CC(=O)C(C(CO)O)O,[C][C][=Branch1][C][=O][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O],3,4,5,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,338,C1=CC=C(C(=C1)C(=O)O)O,[C][=C][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][O],2,3,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,339,C(CP(=O)(O)O)N,[C][Branch1][#Branch2][C][P][=Branch1][C][=O][Branch1][C][O][O][N],3,4,2,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,340,CC1=C(C(=CC=C1)O)O,[C][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][O],2,2,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,341,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][C][=Branch1][C][=O][O][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][=Branch1][C][=O][O],6,9,14,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,342,CC1=CC(=CC=C1)O,[C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O],1,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,343,C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O,[C][Branch2][Ring1][=C][C][Branch2][Ring1][=Branch2][C][Branch2][Ring1][Ring2][C][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][P][=Branch1][C][=O][Branch1][Ring2][O][Ring1][Branch2][O][O][O][O],5,8,6,11,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,344,C1C(C(C(C(=O)C1=O)O)O)O,[C][C][Branch1][P][C][Branch1][=N][C][Branch1][=Branch2][C][=Branch1][C][=O][C][Ring1][#Branch1][=O][O][O][O],3,5,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,345,CC(=C(CC(=O)O)C(=O)O)C(=O)O,[C][C][=Branch1][#C][=C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],3,6,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][O][C][C][Branch1][P][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O],5,7,12,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,347,C1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CO,[C][=C][C][=Branch2][Ring1][=C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][Branch1][P][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C][O],5,7,13,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,348,C1=CC(=CC=C1O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][O][C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][Branch1][P][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O],6,10,12,17,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,349,C(C1C(C(=O)C(C(O1)O)O)O)O,[C][Branch2][Ring1][Branch1][C][C][Branch1][S][C][=Branch1][C][=O][C][Branch1][Branch2][C][Branch1][Ring2][O][Ring1][#Branch1][O][O][O][O],4,6,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,350,CC(C(C(=O)O)NC(=O)CCCCCCS)OP(=O)(O)O,[C][C][Branch2][Ring1][Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][C][C][C][C][C][S][O][P][=Branch1][C][=O][Branch1][C][O][O],5,8,11,22,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,351,CC(C(C(=O)O)NC(=O)CCCCCCSSCCS(=O)(=O)O)OP(=O)(O)O,[C][C][Branch2][Ring1][S][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][C][C][C][C][C][S][S][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O][O][P][=Branch1][C][=O][Branch1][C][O][O],5,12,13,26,10,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,352,CC(C(C1=CNC2=C(N1)C(=NC(=N2)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N,[C][C][Branch2][Branch1][#Branch2][C][Branch2][Ring2][=Branch1][C][=C][N][C][=C][Branch1][Ring2][N][Ring1][=Branch1][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][O][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][O][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][O][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N],9,20,24,34,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
